model,method,mean_roc_auc,min_roc_auc,mean_average_precision,mean_brier,mean_ece,mean_abs_calibration_gap,mean_top20_capture
random_forest,isotonic,0.8331978139095364,0.8226240075444821,0.5737460006818745,0.10046805998360857,0.046426890715065276,0.03838706059044651,0.6182535041965398
random_forest,uncalibrated,0.83402580375277,0.8233686083363448,0.5872509845678501,0.1020847044012317,0.04809010069378821,0.029131564773525215,0.6191623689728543
random_forest,platt,0.83402580375277,0.8233686083363448,0.5872509845678501,0.10453535755808617,0.053306645544687135,0.038548771809381675,0.6191623689728543
xgboost,isotonic,0.841448085719858,0.8195357302057665,0.574370625179789,0.10258434027055656,0.05881995165831993,0.05024340443656896,0.6120693219810748
xgboost,platt,0.8424078919791599,0.8199060609456992,0.5866949299066003,0.10421058913646486,0.05861976846195194,0.048744135344532806,0.6105969244763145
xgboost,uncalibrated,0.8424078919791599,0.8199060609456992,0.5866949299066003,0.10651468097199501,0.07342991682110868,0.05349237290671427,0.6105969244763145
