variant,feature_count,mean_roc_auc,min_roc_auc,mean_average_precision,min_average_precision,mean_brier,mean_ece,mean_top20_capture,min_top20_capture,mean_roc_auc_change_vs_base7,mean_average_precision_change_vs_base7,mean_brier_change_vs_base7,mean_ece_change_vs_base7,mean_top20_capture_change_vs_base7
base_7,7,0.8383943042659013,0.830281284806695,0.4993663676572712,0.462076127511026,0.10562025181641356,0.03495488146481546,0.6093371792117935,0.5934205743366049,0.0,0.0,0.0,0.0,0.0
base_plus_both_decr,9,0.8148577959690703,0.7880891841053381,0.5584136062209043,0.5186031109769083,0.09967581982738853,0.030776216701375786,0.5968135142673181,0.579425663395129,-0.02353650829683107,0.05904723856363309,-0.0059444319890250286,-0.004178664763439671,-0.012523664944475432
base_plus_daily_decr30,8,0.8398175688282716,0.8311792648819074,0.5778597078078379,0.5191061051482102,0.10065369272952833,0.04886731163623625,0.6228251113765239,0.5808796801163213,0.0014232645623702966,0.07849334015056669,-0.0049665590868852305,0.01391243017142079,0.01348793216473032
base_plus_daily_decr90,8,0.8396489622849354,0.8307080777035156,0.5772470258239041,0.5173110749453745,0.10077684188581859,0.049086871673121146,0.6227839964659113,0.579425663395129,0.0012546580190340162,0.07788065816663287,-0.004843409930594969,0.01413199020830569,0.013446817254117782
full_12_reference,12,0.8331982725730525,0.8226240075444821,0.5737673059425451,0.5250883786438227,0.10046806075070873,0.04642690396312854,0.6182535041965398,0.5817884405670665,-0.005196031692848879,0.07440093828527389,-0.005152191065704831,0.011472022498313084,0.00891632498474626
