threshold,precision,recall,f1,flagged_rate
0.05,0.2960199004975124,0.9395262892659163,0.4501951945908963,0.6595224797542586
0.060000000000000005,0.2960199004975124,0.9395262892659163,0.4501951945908963,0.6595224797542586
0.07,0.320809925093633,0.9208802284562405,0.4758474024564906,0.5964814297682212
0.08000000000000002,0.3347812596959355,0.9062657483621703,0.48894326626789925,0.5625174532253561
0.09000000000000001,0.34557585179427386,0.8961867965731564,0.4988079098686363,0.5388857860932701
0.1,0.34557585179427386,0.8961867965731564,0.4988079098686363,0.5388857860932701
0.11000000000000001,0.38572414321858467,0.845120107508819,0.5296904611497157,0.45528483663781066
0.12000000000000001,0.4053940866069185,0.8130354443137914,0.5410239213056115,0.41674811505166154
0.13,0.405428044898643,0.8130354443137914,0.5410541613101559,0.41671320860094946
0.14,0.4242146716732301,0.7780950781118764,0.5490753911806543,0.38114353532532813
0.15000000000000002,0.42425352628686575,0.7780950781118764,0.5491079366961057,0.38110862887461605
0.16000000000000003,0.42563960979201176,0.7769192004031581,0.54997324454486,0.3792934934375873
0.17000000000000004,0.4257571573230231,0.7769192004031581,0.5500713606089439,0.379188774085451
0.18000000000000005,0.42570429018596945,0.7767512178733412,0.5499851323223313,0.3791538676347389
0.19,0.47724916484276003,0.6959516210314127,0.5662156621566216,0.30302289863166715
0.2,0.47724916484276003,0.6959516210314127,0.5662156621566216,0.30302289863166715
0.21000000000000002,0.47751902236569055,0.6957836385015959,0.5663499008682573,0.3027785534766825
0.22000000000000003,0.47751902236569055,0.6957836385015959,0.5663499008682573,0.3027785534766825
0.23000000000000004,0.47751902236569055,0.6957836385015959,0.5663499008682573,0.3027785534766825
0.24000000000000005,0.4873371924746744,0.6788174029900891,0.5673569673569674,0.2894442893046635
0.25000000000000006,0.5005783318339545,0.6542919536368218,0.5672054754623562,0.27160709299078467
0.26000000000000006,0.5005783318339545,0.6542919536368218,0.5672054754623562,0.27160709299078467
0.27,0.5303326810176126,0.5918024525449354,0.5593839314067958,0.23188355208042447
0.28,0.578412937194434,0.5167142617167815,0.5458255700470234,0.1856325048869031
0.29000000000000004,0.5785217227760016,0.5167142617167815,0.5458740017746229,0.185597598436191
0.30000000000000004,0.5784719608581107,0.5163782966571476,0.5456643294577084,0.18549287908405473
0.31000000000000005,0.5785808394504046,0.5163782966571476,0.5457127640688798,0.18545797263334265
0.32000000000000006,0.5907097288676236,0.49773223584747184,0.5402497948764701,0.17509075677185143
0.33,0.590827517447657,0.49773223584747184,0.5402990517870168,0.17505585032113935
0.34,0.590827517447657,0.49773223584747184,0.5402990517870168,0.17505585032113935
0.35000000000000003,0.6152790484903934,0.45187300520745843,0.5210653753026634,0.15261100251326445
0.36000000000000004,0.6152790484903934,0.45187300520745843,0.5210653753026634,0.15261100251326445
0.37000000000000005,0.6242161119150988,0.43473878716613473,0.5125259926725418,0.14472214465233174
0.38000000000000006,0.6241254523522316,0.4345708046363178,0.5123786888492771,0.14468723820161966
0.39000000000000007,0.6241254523522316,0.4345708046363178,0.5123786888492771,0.14468723820161966
0.4000000000000001,0.6366934438973827,0.41273307576012097,0.5008153281695883,0.13470399329796146
