model,config_id,mean_roc_auc,min_roc_auc,mean_average_precision,mean_brier,mean_top20_capture,min_top20_capture,max_depth,min_samples_leaf,max_features,learning_rate,min_child_weight
random_forest,random_forest_01,0.8710905896668081,0.8417314295571028,0.6316173308881687,0.10121414125557236,0.6640790942850785,0.5830607051981098,8.0,20.0,sqrt,,
random_forest,random_forest_02,0.8688493444335149,0.841302397764486,0.629206991827372,0.10239802154845477,0.6611543673102448,0.5817884405670665,12.0,20.0,sqrt,,
xgboost,xgboost_03,0.8687560140754891,0.8416578810027019,0.6286647124881628,0.10620932777722676,0.6496327794785087,0.5812431842966194,5.0,,,0.05,5.0
random_forest,random_forest_04,0.8673540063811626,0.8405841958498226,0.6295294870200917,0.10219281431658879,0.6591556442768826,0.5806979280261723,,20.0,sqrt,,
xgboost,xgboost_02,0.8661677947621982,0.8328562834783886,0.6246263352440035,0.10653087496757507,0.6500016094318984,0.5877862595419847,4.0,,,0.05,5.0
xgboost,xgboost_04,0.8641577246787054,0.8286604690431498,0.6195358972134445,0.10585085054238637,0.6459696158460638,0.5834996673320026,4.0,,,0.03,10.0
random_forest,random_forest_03,0.8615524903460895,0.8385586212831388,0.6181135890005988,0.10279297756797351,0.6458986044281526,0.5848782260996002,12.0,10.0,0.7,,
xgboost,xgboost_01,0.860993226700514,0.8201007731704791,0.6162927084595409,0.1062159314751625,0.6450698622357319,0.5815036593479708,3.0,,,0.05,5.0
