experiment,run_id,run_name,status,start_time,end_time,param__eval_end,param__eval_start,param__feature_count,param__fold,param__model,param__train_end,metric__average_precision,metric__brier,metric__mean_predicted_risk,metric__observed_delinquency_rate,metric__roc_auc,metric__top20_capture,param__config_id,param__max_depth,param__max_features,param__min_samples_leaf,param__learning_rate,param__min_child_weight,param__development_end,param__final_holdout,param__holdout_end,param__holdout_start,metric__calibration_in_the_large_error,metric__development_mean_roc_auc,metric__prevalence_baseline_brier,metric__roc_auc_drop_vs_development,param__calibration_days,param__calibration_method,param__development_only,metric__abs_calibration_gap,metric__ece_10bin,param__calibration_end,param__calibration_start,param__confirmatory_only,param__method
module4_model_tuning,6252416825944211b7de09cf292078f2,random_forest_02_late_june,FINISHED,2026-09-18 12:21:18.071000+00:00,2026-09-18 12:21:24.121000+00:00,,,12,late_june,random_forest,,0.7613204341861362,0.07253771276585637,,,0.9099869826311521,0.7642827784628031,random_forest_02,12,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,00e3b6468d214e33b8e8f8949f71e0e8,random_forest_02_turn_of_month,FINISHED,2026-09-18 12:21:24.340000+00:00,2026-09-18 12:21:36.762000+00:00,,,12,turn_of_month,random_forest,,0.5623743991216702,0.09812822754441924,,,0.8552586529049063,0.6373918829008649,random_forest_02,12,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,24912381b7594be0b4af78f183c83522,random_forest_02_early_july,FINISHED,2026-09-18 12:21:36.825000+00:00,2026-09-18 12:21:56.365000+00:00,,,12,early_july,random_forest,,0.5639261421743096,0.1365281243350887,,,0.841302397764486,0.5817884405670665,random_forest_02,12,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,56a582969619499fa9010fb96ac88cd5,random_forest_03_late_june,FINISHED,2026-09-18 12:21:56.412000+00:00,2026-09-18 12:22:10.938000+00:00,,,12,late_june,random_forest,,0.7481861727974993,0.07652017382147756,,,0.9020405734389857,0.7427044800657624,random_forest_03,12,0.7,10,,,,,,,,,,,,,,,,,,,
module4_model_tuning,c8199c74b87c4608b7bb2e12b9549a9a,random_forest_03_turn_of_month,FINISHED,2026-09-18 12:22:10.998000+00:00,2026-09-18 12:22:40.421000+00:00,,,12,turn_of_month,random_forest,,0.5416238715733702,0.10152710898678584,,,0.8440582763161438,0.6101131071190952,random_forest_03,12,0.7,10,,,,,,,,,,,,,,,,,,,
module4_model_tuning,f056526e7a914c0195f464b0bfd15fa5,random_forest_03_early_july,FINISHED,2026-09-18 12:22:40.486000+00:00,2026-09-18 12:23:26.986000+00:00,,,12,early_july,random_forest,,0.5645307226309266,0.13033164989565713,,,0.8385586212831388,0.5848782260996002,random_forest_03,12,0.7,10,,,,,,,,,,,,,,,,,,,
module4_model_tuning,1d1695834671465bb431c9e5dd99c0bb,random_forest_04_late_june,FINISHED,2026-09-18 12:23:27.043000+00:00,2026-09-18 12:23:33.262000+00:00,,,12,late_june,random_forest,,0.7598060455001623,0.07279252829391845,,,0.9078605925739567,0.761816687217427,random_forest_04,None,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,e143a719cb0d4851a81b49e92730cb5b,random_forest_04_turn_of_month,FINISHED,2026-09-18 12:23:33.318000+00:00,2026-09-18 12:23:46.491000+00:00,,,12,turn_of_month,random_forest,,0.563879785636557,0.09808330825559272,,,0.8536172307197084,0.6349523175870482,random_forest_04,None,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,327e5f7e02264118ab1b15d234491feb,random_forest_04_early_july,FINISHED,2026-09-18 12:23:46.550000+00:00,2026-09-18 12:24:10.034000+00:00,,,12,early_july,random_forest,,0.5649026299235558,0.13570260640025522,,,0.8405841958498226,0.5806979280261723,random_forest_04,None,sqrt,20,,,,,,,,,,,,,,,,,,,
module4_model_tuning,f2d96664afcd4e279904a164d2e73808,xgboost_01_late_june,FINISHED,2026-09-18 12:24:10.095000+00:00,2026-09-18 12:24:11.403000+00:00,,,12,late_june,xgboost,,0.7690857765593497,0.06918266415596008,,,0.9192945945255546,0.769009453349774,xgboost_01,3,,,0.05,5,,,,,,,,,,,,,,,,,
