fold,variant,feature_count,added_features,roc_auc,average_precision,brier,ece_10bin,top20_capture,mean_predicted_risk,observed_delinquency_rate
late_june,base_7,7,,0.8302781125193182,0.46204558814273866,0.10721575743185412,0.039405891385169256,0.6000822030415125,0.12527530531173067,0.16468119669689996
late_june,base_plus_aon,8,aon,0.836059726994114,0.4806110888405922,0.10725073795229183,0.041358173016741384,0.6035758323057954,0.12356476109530874,0.16468119669689996
late_june,base_plus_last_rech_date_ma,8,last_rech_date_ma,0.8343522287425356,0.4658890805150552,0.10659622265656837,0.03462807549074562,0.5992601726263872,0.13005312120615437,0.16468119669689996
late_june,base_plus_daily_decr30,8,daily_decr30,0.8396759764059086,0.6606097290187979,0.08695982834603856,0.04495167660615866,0.6533086724208795,0.1279727412036121,0.16468119669689996
late_june,base_plus_daily_decr90,8,daily_decr90,0.8396687367631938,0.6600495758268258,0.0869598283460385,0.04495167660615834,0.6533086724208795,0.1279727412036118,0.16468119669689996
late_june,base_plus_rental30,8,rental30,0.8453724678360867,0.5670797267224292,0.10041917087055219,0.040546558271661114,0.6140567200986436,0.12940065204241483,0.16468119669689996
late_june,base_plus_tenure_recency,9,aon;last_rech_date_ma,0.838830058083999,0.48182884352551913,0.10660509257532749,0.036362546166039324,0.603986847513358,0.12831865053086064,0.16468119669689996
late_june,base_plus_activity_trio,10,daily_decr30;daily_decr90;rental30,0.8203900761125827,0.650340843227619,0.08567952478716327,0.03911488791645861,0.6344019728729963,0.13404270870765944,0.16468119669689996
late_june,full_12,12,aon;last_rech_date_ma;daily_decr30;daily_decr90;rental30,0.8269437012743736,0.6553305648355378,0.0856360277934281,0.0409251590402498,0.6469379367036581,0.13169986264698325,0.16468119669689996
turn_of_month,base_7,7,,0.8486866639980702,0.5050203127859961,0.09824139833611827,0.03004302997366203,0.6351740962519405,0.1269118572443831,0.15695488721804512
turn_of_month,base_plus_aon,8,aon,0.8517760071930314,0.5163169454983622,0.09775299856465665,0.03071362807431751,0.6358394322466179,0.12641160225919948,0.15695488721804512
turn_of_month,base_plus_last_rech_date_ma,8,last_rech_date_ma,0.8535591281709353,0.5070806878210634,0.09741393542105088,0.027327105340434477,0.6380572188955422,0.1297252477645502,0.15695488721804512
turn_of_month,base_plus_daily_decr30,8,daily_decr30,0.8485997619984075,0.5542933257257725,0.10037542436408689,0.05594269598955656,0.6342869815923708,0.1178022340415147,0.15695488721804512
turn_of_month,base_plus_daily_decr90,8,daily_decr90,0.8485597174837053,0.5542864071687393,0.10038399683567874,0.05593151616779954,0.6347305389221557,0.11776178042654509,0.15695488721804512
turn_of_month,base_plus_rental30,8,rental30,0.8492381940863399,0.5201390356130362,0.09826671910637928,0.031733360251123985,0.6358394322466179,0.13386773398774116,0.15695488721804512
turn_of_month,base_plus_tenure_recency,9,aon;last_rech_date_ma,0.8561464451986146,0.5218368091690551,0.09684848328195003,0.027576444884841553,0.6409403415391439,0.12937844233320353,0.15695488721804512
turn_of_month,base_plus_activity_trio,10,daily_decr30;daily_decr90;rental30,0.8360112747698285,0.5367343816574426,0.1014398884010537,0.052507502246156273,0.6327345309381237,0.12240772278886936,0.15695488721804512
turn_of_month,full_12,12,aon;last_rech_date_ma;daily_decr30;daily_decr90;rental30,0.8432408801364931,0.5444005833152403,0.1003312450547029,0.05031203610204837,0.630294965624307,0.12300050682131519,0.15695488721804512
early_july,base_7,7,,0.8362266206708904,0.5310198469004174,0.11140359968126828,0.03541572303561527,0.5934205743366049,0.1467938411450709,0.18220956418068618
early_july,base_plus_aon,8,aon,0.8400223350310895,0.5381202594715824,0.11126468479654567,0.036236296370747906,0.5917848055252636,0.14606599532351625,0.18220956418068618
early_july,base_plus_last_rech_date_ma,8,last_rech_date_ma,0.8400334415308075,0.5307668181782521,0.11082419209411755,0.03513802639702538,0.5959651035986914,0.1470715377836608,0.18220956418068618
early_july,base_plus_daily_decr30,8,daily_decr30,0.831179375284489,0.5191066902730658,0.11462582547845927,0.04570756231299138,0.5808796801163213,0.1373026106397704,0.18220956418068618
early_july,base_plus_daily_decr90,8,daily_decr90,0.8307083573900558,0.5173102085911134,0.11498670047573856,0.04637742224540557,0.579425663395129,0.1366327507074349,0.18220956418068618
early_july,base_plus_rental30,8,rental30,0.8365750401784435,0.5290549019736924,0.11081442611156749,0.030715742890246183,0.5936023264267539,0.15149382129044003,0.18220956418068618
early_july,base_plus_tenure_recency,9,aon;last_rech_date_ma,0.8437146904943112,0.542224211053388,0.11050542201531716,0.03606746488664806,0.5934205743366049,0.14660004892746759,0.18220956418068618
early_july,base_plus_activity_trio,10,daily_decr30;daily_decr90;rental30,0.8249748716363903,0.5159118575853704,0.11528973185105257,0.045401199467131614,0.5806979280261723,0.1373491321865662,0.18220956418068618
early_july,full_12,12,aon;last_rech_date_ma;daily_decr30;daily_decr90;rental30,0.8317509478503249,0.5272885174564553,0.11572503192662148,0.051453754871758565,0.5856052344601963,0.1312686045753188,0.18220956418068618
