fold,variant,feature_count,roc_auc,average_precision,brier,ece_10bin,top20_capture,mean_predicted_risk,observed_delinquency_rate
late_june,base_7,7,0.830281284806695,0.462076127511026,0.10721575743185412,0.03940589138516924,0.6000822030415125,0.1252753053117307,0.16468119669689996
late_june,base_plus_daily_decr30,8,0.8396712346272702,0.6601747375087939,0.0869598283460385,0.0449516766061584,0.6533086724208795,0.12797274120361182,0.16468119669689996
late_june,base_plus_daily_decr90,8,0.8396767840486267,0.6601370787582326,0.08695982834603849,0.04495167660615834,0.6533086724208795,0.12797274120361182,0.16468119669689996
late_june,base_plus_both_decr,9,0.7880891841053381,0.6150664394872596,0.08912866937364401,0.03993443715214013,0.5869297163995068,0.13284089706179839,0.16468119669689996
late_june,full_12_reference,12,0.8226240075444821,0.646801796048643,0.08591023406676988,0.040483359983968174,0.6391286477599671,0.1320897444445106,0.16468119669689996
turn_of_month,base_7,7,0.8486811788244351,0.5050147860008667,0.09824139833611827,0.03004302997366184,0.6345087602572632,0.12691185724438328,0.15695488721804512
turn_of_month,base_plus_daily_decr30,8,0.8486022069756373,0.5542982807665097,0.1003754243640869,0.05594269598955656,0.6342869815923708,0.11780223404151469,0.15695488721804512
turn_of_month,base_plus_daily_decr90,8,0.8485620251026637,0.5542929237681049,0.10038399683567877,0.055931516167799566,0.6356176535817254,0.1177617804265451,0.15695488721804512
turn_of_month,base_plus_both_decr,9,0.8287927404798331,0.5415712681985451,0.09724745492677464,0.03103428836070838,0.6240851630073186,0.14323996323752144,0.15695488721804512
turn_of_month,full_12_reference,12,0.845336399609496,0.5494117431351695,0.0996881304374325,0.04850646957931649,0.6338434242625859,0.12396232648523402,0.15695488721804512
early_july,base_7,7,0.8362204491665739,0.5310081894599208,0.11140359968126831,0.035415723035615285,0.5934205743366049,0.1467938411450709,0.18220956418068618
early_july,base_plus_daily_decr30,8,0.8311792648819074,0.5191061051482102,0.11462582547845954,0.04570756231299377,0.5808796801163213,0.13730261063977323,0.18220956418068618
early_july,base_plus_daily_decr90,8,0.8307080777035156,0.5173110749453745,0.11498670047573853,0.04637742224540553,0.579425663395129,0.13663275070743494,0.18220956418068618
early_july,base_plus_both_decr,9,0.8276914633220396,0.5186031109769083,0.11265133518174693,0.02135992459127884,0.579425663395129,0.1615572241533674,0.18220956418068618
early_july,full_12_reference,12,0.8316344105651795,0.5250883786438227,0.11580581774792377,0.050290882326100975,0.5817884405670665,0.13263237000182235,0.18220956418068618
