variant,feature_count,added_features,mean_roc_auc,min_roc_auc,mean_average_precision,min_average_precision,mean_brier,mean_ece,mean_top20_capture,min_top20_capture,mean_roc_auc_change_vs_base7,mean_average_precision_change_vs_base7,mean_brier_change_vs_base7,mean_ece_change_vs_base7,mean_top20_capture_change_vs_base7
base_plus_daily_decr30,8,daily_decr30,0.8398183712296018,0.831179375284489,0.578003248339212,0.5191066902730658,0.10065369272952825,0.04886731163623553,0.6228251113765239,0.5808796801163213,0.0014212388335088644,0.07864133239616133,-0.0049665590868853,0.013912430171420014,0.013266153499837952
base_plus_daily_decr90,8,daily_decr90,0.839645603878985,0.8307083573900558,0.5772153971955595,0.5173102085911134,0.10077684188581859,0.049086871673121146,0.622488291579388,0.579425663395129,0.0012484714828920884,0.0778534812525088,-0.004843409930594955,0.014131990208305627,0.012929333702702106
full_12,12,aon;last_rech_date_ma;daily_decr30;daily_decr90;rental30,0.8339785097537306,0.8269437012743736,0.5756732218690778,0.5272885174564553,0.10056410159158417,0.04756365000468558,0.6209460455960537,0.5856052344601963,-0.004418622642362369,0.07631130592602708,-0.005056150224829373,0.012608768539870058,0.011387087719367806
base_plus_activity_trio,10,daily_decr30;daily_decr90;rental30,0.8271254075062672,0.8203900761125827,0.5676623608234773,0.5159118575853704,0.10080304834642317,0.045674529876582166,0.6159448106124308,0.5806979280261723,-0.011271724889825752,0.06830044488042664,-0.004817203469990372,0.010719648411766647,0.006385852735744879
base_plus_rental30,8,rental30,0.8437285673669567,0.8365750401784435,0.5387578881030527,0.5201390356130362,0.10316677202949964,0.03433188713767709,0.6144994929240052,0.5936023264267539,0.0053314349708637465,0.03939597216000201,-0.0024534797869139036,-0.0006229943271384292,0.004940535047319283
base_plus_tenure_recency,9,aon;last_rech_date_ma,0.8462303979256416,0.838830058083999,0.5152966212493207,0.48182884352551913,0.1046529992908649,0.03333548531250965,0.612782587796369,0.5934205743366049,0.00783326552954866,0.01593470530627006,-0.000967252525548648,-0.0016193961523058714,0.0032236299196830576
base_plus_aon,8,aon,0.8426193564060783,0.836059726994114,0.5116827646035123,0.4806110888405922,0.10542280710449804,0.0361026991539356,0.6104000233592256,0.5917848055252636,0.004222224009985398,0.01232084866046157,-0.00019744471191550372,0.0011478176891200828,0.0008410654825397046
base_plus_last_rech_date_ma,8,last_rech_date_ma,0.8426482661480929,0.8343522287425356,0.5012455288381236,0.4658890805150552,0.10494478339057893,0.032364402409401825,0.611094165040207,0.5959651035986914,0.004251133751999925,0.0018836128950728837,-0.0006754684258346161,-0.002590479055413694,0.0015352071635210685
base_7,7,,0.8383971323960929,0.8302781125193182,0.4993619159430507,0.46204558814273866,0.10562025181641355,0.03495488146481552,0.6095589578766859,0.5934205743366049,0.0,0.0,0.0,0.0,0.0
