model,mean_roc_auc,min_roc_auc,mean_average_precision,mean_brier,mean_top20_capture,min_top20_capture
random_forest,0.8688493444335149,0.841302397764486,0.629206991827372,0.10239802154845477,0.6611543673102448,0.5817884405670665
xgboost,0.8661677947621982,0.8328562834783886,0.6246263352440035,0.10653087496757507,0.6500016094318984,0.5877862595419847
logistic_regression,0.8017375696365358,0.705531649264152,0.5171272169036519,0.1269827345054264,0.6020016014647848,0.5174482006543075
