case,holdout_index,observed_outcome,original_score,threshold,original_class,counterfactual_score,counterfactual_class,search_type,feature,original_value,counterfactual_value,delta,normalized_abs_change_iqr
near_boundary_predicted_on_time,132774,0,0.16666666666666666,0.1751412429378531,predicted_on_time,0.18486171761280934,predicted_delinquent,single_feature,sumamnt_ma_rech30,3079.0,3078.0,-1.0,0.0001417635384179189
near_boundary_predicted_delinquent,139294,1,0.1761397307426794,0.1751412429378531,predicted_delinquent,0.14324469090728906,predicted_on_time,single_feature,aon,516.0,526.0,10.0,0.014684287812041116
