fold,train_start,train_end,eval_start,eval_end,train_rows,eval_rows,model,roc_auc,average_precision,brier,top20_capture,mean_predicted_risk,observed_delinquency_rate
late_june,2016-06-01,2016-06-13,2016-06-14,2016-06-23,33647,29548,logistic_regression,0.8987723389396393,0.6778193268993726,0.08091634156991455,0.7392108508014796,0.17436908801503603,0.16468119669689996
late_june,2016-06-01,2016-06-13,2016-06-14,2016-06-23,33647,29548,random_forest,0.9099869826311521,0.7613204341861362,0.07253771276585637,0.7642827784628031,0.14795383408601398,0.16468119669689996
late_june,2016-06-01,2016-06-13,2016-06-14,2016-06-23,33647,29548,xgboost,0.920958409297543,0.7740956448171384,0.06891924142837524,0.7696259761611179,0.16354615986347198,0.16468119669689996
turn_of_month,2016-06-01,2016-06-23,2016-06-24,2016-07-03,63195,28728,logistic_regression,0.705531649264152,0.4447267170149526,0.1201411105535257,0.5493457529385674,0.15815965394625942,0.15695488721804512
turn_of_month,2016-06-01,2016-06-23,2016-06-24,2016-07-03,63195,28728,random_forest,0.8552586529049063,0.5623743991216702,0.09812822754441924,0.6373918829008649,0.17049493581098651,0.15695488721804512
turn_of_month,2016-06-01,2016-06-23,2016-06-24,2016-07-03,63195,28728,xgboost,0.8328562834783886,0.5415732953775718,0.10432733595371246,0.5925925925925926,0.1790107935667038,0.15695488721804512
early_july,2016-06-01,2016-07-03,2016-07-04,2016-07-13,91923,30196,logistic_regression,0.8009087207058158,0.42883560679663046,0.17989075139283894,0.5174482006543075,0.3765360616345084,0.18220956418068618
early_july,2016-06-01,2016-07-03,2016-07-04,2016-07-13,91923,30196,random_forest,0.841302397764486,0.5639261421743096,0.1365281243350887,0.5817884405670665,0.3369137903284524,0.18220956418068618
early_july,2016-06-01,2016-07-03,2016-07-04,2016-07-13,91923,30196,xgboost,0.8446886915106627,0.5582100655373001,0.1463460475206375,0.5877862595419847,0.35192450881004333,0.18220956418068618
