evaluation,rows,threshold,accuracy,precision,recall,f1,roc_auc,average_precision,predicted_positive_rate,observed_positive_rate
selected_random_forest_isotonic,28648,0.1751412429378531,0.735897793912315,0.4257571573230231,0.7769192004031581,0.5500713606089439,0.8287234397285603,0.5666791862399062,0.379188774085451,0.20779810108908126
majority_class_baseline,28648,,0.7922018989109187,0.0,0.0,0.0,0.5,0.20779810108908126,0.0,0.20779810108908126
