population,rows,mean_score,std_score,p05,p25,median,p75,p95
final_holdout,28648,0.17852108953385395,0.19369693849546374,0.009672619047619048,0.03432700993676603,0.10013440860215053,0.2625698324022346,0.6190476190476192
post_23_july,58825,0.14203916000214445,0.1571743974166566,0.009672619047619048,0.028917283120376596,0.07898448519040902,0.18486171761280934,0.47058823529411764
